% Model,TWA_Ragonal_like_plasma_with_caps.mph
% Version,COMSOL 6.2.0.339
% Date,"Jun 24 2024, 19:00"
% Table,Table 11 - 
% lcap (m),f (MHz),freq (MHz),S11 (1),S21 (1)
0.03,96,96,0.9379843190705185+0.34608725854719324i,0.0022028662381424115-0.005968247033925292i
0.034999999999999996,96,96,0.9634840387145737+0.26663241025591117i,0.004062328755671053-0.014678129917561926i
0.04,96,96,0.9890570458150373+0.13699903479505426i,0.007018884482891444-0.05068192080043369i
0.045,96,96,0.48055033068500624-0.4750597426766291i,-0.5166104861802279-0.5255678454942551i
0.05,96,96,0.9535267087464697+0.10039895629887276i,-0.02956509341040079+0.28188917542341846i
0.055,96,96,0.8345337755413234-0.29863776853623886i,0.1558527666940828+0.4355799274881003i
0.06,96,96,0.2319927409268732+0.38957968545857935i,0.7650956148164679-0.45694671223268984i
0.065,96,96,0.8615466169516707+0.14892911180880528i,0.08253621123471283-0.4779029665431549i
0.07,96,96,0.8251991900823423-0.22386388763453074i,-0.13563338097961122-0.5001878519842936i
0.075,96,96,0.27752351762307703-0.4426028569380146i,-0.7217446074366016-0.45378884316110357i
0.08,96,96,0.31065647275934766+0.34233567670057724i,-0.655259918798348+0.5972290836508005i
0.08499999999999999,96,96,0.7582763209680022+0.07268586085294272i,-0.06099946139453295+0.6447310452066052i
0.09,96,96,0.6675974054508791-0.3265748801925432i,0.29424834618244944+0.6006362680327494i
