% Model,TWA_Ragonal_like_plasma_with_caps.mph
% Version,COMSOL 6.2.0.339
% Date,"Jun 25 2024, 10:58"
% Table,Table 11 - 
% lcap (m),f (MHz),freq (MHz),S11 (1),S21 (1)
0.03,96,96,0.9379843190705686+0.34608725854672606i,0.0022028662381224895-0.005968247033892316i
0.031,96,96,0.9429887495850257+0.33218556910709884i,0.0024754520791552452-0.007025382482252598i
0.032,96,96,0.9479778722863421+0.3176320985916553i,0.00279237590939141-0.008336238871563926i
0.033,96,96,0.9531105782431899+0.30182671008129214i,0.0031559551817844874-0.009967239732810353i
0.034,96,96,0.9583096764579263+0.28480152790330354i,0.00358200804796236-0.012049409891501448i
0.034999999999999996,96,96,0.9634840387142868+0.26663241025680745i,0.0040623287556746995-0.014678129917466936i
0.036,96,96,0.9687398119559913+0.24661221223112242i,0.004620890870611129-0.01814660364475799i
0.037,96,96,0.9739268371842644+0.22483005326211844i,0.005236207064337393-0.022685127424746297i
0.038,96,96,0.9792009086331809+0.19977892541513723i,0.005921075535348702-0.029013705460876314i
0.039,96,96,0.9844115948527183+0.17050465063557207i,0.006578795017283654-0.03795177277015919i
0.04,96,96,0.9890570458152352+0.13699903479425263i,0.0070188844832687735-0.05068192080223568i
0.040999999999999995,96,96,0.9928462598523569+0.09424097164507488i,0.0067043530383048945-0.07036342714382642i
0.041999999999999996,96,96,0.9937979865651889+0.03785126486752362i,0.0038967020806553827-0.10265750289360141i
0.043,96,96,0.9851081973147894-0.04971615111497863i,-0.008232944767679159-0.16323226879409114i
0.044,96,96,0.9289853456788774-0.21171129133387045i,-0.06713505052453796-0.29544901868933554i
0.045,96,96,0.48055033059910157-0.47505974267498263i,-0.516610486258513-0.5255678454898616i
0.046,96,96,0.35586738718977734+0.48758924671040527i,-0.6432234305540988+0.47076663877708735i
0.047,96,96,0.7996476270784478+0.38811579241287814i,-0.1999293855354522+0.4118443013694752i
0.048,96,96,0.9028114279748722+0.25968973489221897i,-0.09452510961796144+0.3289319258899516i
0.049,96,96,0.9385615378047456+0.1721550890395495i,-0.05375476531927738+0.2936100552824969i
0.05,96,96,0.9535267087466025+0.10039895630305955i,-0.02956509341075992+0.2818891754215976i
0.051000000000000004,96,96,0.957390354549086+0.033339134089086626i,-0.00995883809522656+0.2860437247047483i
0.052,96,96,0.9521304418781814-0.035695976433762835i,0.011379836630869606+0.30277524917131204i
0.053,96,96,0.9357146138496957-0.11106128780563988i,0.03943828436884498+0.33193405796199305i
0.054,96,96,0.9010742287635015-0.19812611661593824i,0.08272748162661846+0.37630577006466553i
0.055,96,96,0.8345337755276595-0.2986377685419751i,0.1558527667111352+0.4355799274964566i
0.056,96,96,0.7072928716676088-0.4051047340973765i,0.2877835893387168+0.5024764697601288i
0.056999999999999995,96,96,0.4676223085716682-0.47078499868014884i,0.5302108066172605+0.5275296881059517i
0.057999999999999996,96,96,0.13545542237716254-0.33462473966321515i,0.8637458723149357+0.35128886658443176i
0.059,96,96,0.007747369915396133+0.07831150050146447i,0.9914808431354146-0.10286286140282516i
0.06,96,96,0.23199274094244765+0.3895796854686989i,0.7650956147981571-0.45694671224174527i
0.061,96,96,0.4939848916403872+0.4434079795224856i,0.4992511072348307-0.5566252169409681i
0.062,96,96,0.6658691986841805+0.38844308005809297i,0.3204316736854654-0.5502149008812259i
0.063,96,96,0.7667175189238509+0.30832431307387737i,0.20981842393045091-0.5222262106416208i
0.064,96,96,0.8266406433311684+0.2274594486649753i,0.1362311650751778-0.49600492059137774i
0.065,96,96,0.8615466169448519+0.1489291118373029i,0.0825362112506144-0.4779029665438681i
0.066,96,96,0.8796292252018131+0.07229482514913374i,0.03858314745530876-0.46816628915976116i
0.067,96,96,0.8845081732981752-0.0012815172791216113i,-6.788836439024558E-4-0.4661382571019921i
0.068,96,96,0.8773070773423745-0.07513544883804196i,-0.040461260810121524-0.47190354945115587i
0.069,96,96,0.8581401362400094-0.1494438382724697i,-0.0841278802600011-0.48356099343206965i
0.07,96,96,0.825199190080692-0.22386388763617224i,-0.13563338097671043-0.5001878519823877i
0.07100000000000001,96,96,0.7740207973530974-0.2990789339196306i,-0.2011611244840505-0.5202312389178323i
0.07200000000000001,96,96,0.6992171713929447-0.37174608731475556i,-0.2864453631705132-0.5390048319450069i
0.07300000000000001,96,96,0.5948570785652136-0.4323588327125583i,-0.3983815006267993-0.5479049655724186i
0.074,96,96,0.45247765920323724-0.4657812090956803i,-0.5455349242853466-0.5295536198127015i
0.075,96,96,0.2775235176426919-0.44260285694731955i,-0.7217446074167541-0.45378884317087437i
0.076,96,96,0.10743330617642122-0.3308331761160019i,-0.8910179666008495-0.291347055767369i
