% Model,TWA_Ragonal_like_plasma_with_caps_different_lengths.mph
% Version,COMSOL 6.2.0.339
% Date,"Jul 3 2024, 18:14"
% Table,Table 14 - Global Evaluation 1
% freq (MHz),S11 (1),S21 (1)
81,0.9862438503706727-0.16138328889500103i,-0.0048394695222124025-0.029585172582999784i
82,0.9633398220602828-0.264684352294089i,-0.01040300635176925-0.03787393862319723i
83,0.9245063684060184-0.37704364616998354i,-0.01982393308820053-0.048623468062863016i
84,0.8636528842952195-0.4985836053384633i,-0.035915375607692576-0.06223645188629832i
85,0.7714461527454473-0.6279537454123183i,-0.06376200740435997-0.07836930517417665i
86,0.633284484251133-0.7597101250339948i,-0.11254475617859978-0.09387842741864268i
87,0.4269145914621288-0.8769471153233056i,-0.1978312368023061-0.09642179316937893i
88,0.12623554958810967-0.9313517943426928i,-0.3380974243785551-0.046056605853121865i
89,-0.2512429533605512-0.8081659120435143i,-0.5086896368232282+0.15758320230729025i
90,-0.49058115460482343-0.40400611631225775i,-0.49172523690460934+0.5951629587222951i
91,-0.336370061037044-0.013354580199809458i,-0.04004536454626141+0.9407164981825623i
92,-0.0908656474204102+0.05574376548859523i,0.5140705400131015+0.8509965196730932i
93,2.262878041342619E-5+8.631923946217798E-4i,0.8639738844809451+0.5033425405446554i
94,0.0018445463518930688-0.020557684402483102i,0.9964925910299605+0.0798863594238657i
95,-0.001227661382642207-0.0033577292765023994i,0.9426164737600965-0.3335686902064721i
96,0.010950286032033985+0.012247899427938058i,0.7354722109571937-0.6772124396138377i
97,0.012479924321210048+0.006199999151796225i,0.41814246909722225-0.9081689052411158i
98,-0.027615082766309834-4.701060399098298E-4i,0.03688979301319359-0.9988463837699776i
99,-0.10843854191848422+0.04224739125832554i,-0.35537783656124944-0.9273600176259644i
100,-0.17652794931639693+0.17596207625143534i,-0.681726655248392-0.6877279130430053i
101,-0.14656333694068188+0.37999874444330517i,-0.8514873879859589-0.3300415586117959i
102,0.021592324348487964+0.5602123708195138i,-0.8273691874748986+0.03099235472446127i
103,0.2766034063093392+0.6276072433725909i,-0.6659900923565808+0.29293701684778173i
104,0.5317411706405957+0.5660758757529053i,-0.45917901318705506+0.430895390238089i
105,0.7307099785446053+0.4113725899128481i,-0.2672891485515334+0.47440651483310403i
106,0.8554112232044474+0.2064826086735972i,-0.111468703594798+0.4613651806740226i
107,0.9077715577401344-0.016904340075467362i,0.007749062257597022+0.4186193655793097i
108,0.8960211174171089-0.23839584431670843i,0.09617751845522485+0.36152878944410516i
109,0.8291671743707696-0.44460122078425995i,0.15988988508632893+0.2981589170468108i
110,0.7158224196889988-0.6258224208600892i,0.20355168460791725+0.23277470425168437i
111,0.5645572635499914-0.7743886367320798i,0.23042733756901923+0.16793235393811273i
