% Model,cap_for_S11.mph
% Version,COMSOL 6.2.0.339
% Date,"Jun 20 2024, 23:31"
% Table,Table 3 - Global Evaluation 3
% f (MHz),lcap (m),freq (MHz),S11 (1),S11 (1),De-embedded S11 (1),TEM port impedance (Ω),TEM mode port characteristic impedance (Ω),Voltage standing wave ratio (1)
81,0.02,81,0.8967234463792825-0.4425941268673072i,1.0859188888894488E-5,0.9986981421999387-0.05103450979643731i,-1.1319209769001556E-4-40.071733606896906i,9.339901629606146,-1599730.831969437
81,0.021,81,0.8952049461389538-0.44565547694780505i,3.0388669682440152E-6,0.9985170138465026-0.0544469722233108i,-3.121725970955624E-5-39.76458847123476i,9.339901629606144,-5716531.673233346
81,0.022,81,0.893674130907519-0.4487192558789006i,1.052229034198905E-5,0.9983255410304732-0.05786654453167628i,-1.0653494599683273E-4-39.461200792914696i,9.33990162960615,-1650950.383531109
81,0.023,81,0.8921270169697136-0.45177698158758545i,-3.0159686454452116E-5,0.9981167050905417-0.06128701753936011i,3.0098979926358786E-4-39.162000582757614i,9.33990162960614,575993.3645976584
81,0.024,81,0.8906302120910606-0.45473263865191643i,1.7143066387683452E-5,0.997913614959782-0.06459384198669288i,-1.6873661371627437E-4-38.8767900370545i,9.33990162960615,-1013341.422303105
81,0.025,81,0.8890614969326683-0.4577882759852582i,1.958484017603525E-6,0.9976841185214954-0.0680209571213064i,-1.9004748102848386E-5-38.585218250861736i,9.33990162960615,-8870013.291771803
81,0.026000000000000002,81,0.8875011033231701-0.4608083108862864i,1.08911439566805E-5,0.9974481548669127-0.07141208675222677i,-1.0421881038100371E-4-38.30069711045235i,9.339901629606151,-1595037.1553336338
81,0.027,81,0.8859167621499482-0.46384282246446523i,-5.761310774681744E-6,0.9971959403927955-0.0748259973149557i,5.4365936433201224E-5-38.018152313369505i,9.339901629606143,3015247.737059811
81,0.028,81,0.8843598661314416-0.46680861157571746i,1.152036361258274E-5,0.9969416929586599-0.07816593571365454i,-1.0724532461641819E-4-37.74546426347228i,9.339901629606153,-1507919.3557603103
81,0.029,81,0.8827635197892156-0.46982011075924546i,1.0285577185475161E-5,0.9966693373101264-0.08156347473144948i,-9.444678875435523E-5-37.471745541713545i,9.33990162960615,-1688945.4974187547
81,0.03,81,0.8811540052732234-0.4728330210487498i,1.4969250003538984E-5,0.9963854505722861-0.08496752727362167i,-1.3559232716896423E-4-37.20115553118117i,9.33990162960615,-1160497.638280462
