% Model,cap_for_S11_20cmcapbox.mph
% Version,COMSOL 6.2.0.339
% Date,"Sep 3 2024, 16:25"
% Table,Table 5 - 
% f (MHz),lcap (m),freq (MHz),S11 (1),S11 (1),De-embedded S11 (1),TEM port impedance (Ω),TEM mode port characteristic impedance (Ω),Voltage standing wave ratio (1)
81,0.05,81,0.8470046018575261-0.53158550636856i,-2.338721683142221E-7,0.9883123267305155-0.15244241857652202i,1.6456042898234043E-6-32.48884849464841i,9.339901629606409,7.427895084880066E7
81,0.052000000000000005,81,0.8433907240422343-0.5372963729385528i,-2.0386814904858993E-5,0.9872572247698984-0.15911781142614728i,1.4014014414876895E-4-32.080595040521644i,9.33990162960593,852108.5494379
81,0.054000000000000006,81,0.8397005847651384-0.5430448789486775i,-2.2528618686338125E-5,0.9861470187550234-0.16585798144158925i,1.5129817835023553E-4-31.677455587461964i,9.339901629606128,771098.286938044
81,0.056,81,0.8360250849635522-0.5486961318314052i,2.3398746755602747E-5,0.985011716994278-0.17250305840490482i,-1.5361527046536794E-4-31.288650224686148i,9.339901629606148,-742423.4920708927
81,0.058,81,0.8322516882817433-0.5544089481412043i,5.2785684321934145E-5,0.9838109267616711-0.1792434512365524i,-3.387428025434699E-4-30.90265681573544i,9.339901629606096,-329100.20016907476
81,0.060000000000000005,81,0.8284841321520138-0.5600176138626443i,2.4689849432405836E-5,0.9825742289877505-0.18588590477282735i,-1.5496490183850337E-4-30.53020098263149i,9.339901629606144,-703600.0492327402
81,0.062,81,0.8246315182678767-0.565665172223771i,-2.506760312018036E-5,0.9812748475040927-0.19259777164742048i,1.5388359868842095E-4-30.161610306164032i,9.339901629606285,692997.2200777171
81,0.064,81,0.8207879486920064-0.5712305835381737i,-1.2002667928488912E-5,0.9799512189516301-0.19923063208906605i,7.210053723384127E-5-29.80485877751771i,9.33990162960624,1447326.4927423126
81,0.066,81,0.8168619924447749-0.5768253850948699i,-3.891473752529889E-5,0.978563593766715-0.20592312290042675i,2.2875440800884927E-4-29.452080806279863i,9.339901629605944,446406.17875786644
81,0.068,81,0.8129431000783762-0.5823372967917917i,-2.9483484682325195E-5,0.977149608858775-0.21253671002195157i,1.6968234532703874E-4-29.11040406433113i,9.339901629606361,589203.7343375426
81,0.07,81,0.8089397375276197-0.5878853125554679i,-3.19656260053991E-5,0.9756723747327605-0.21921691735135357i,1.8011288520837637E-4-28.772002184889956i,9.339901629605855,543451.871499237
81,0.07200000000000001,81,0.8049610670043298-0.5933230660205722i,-2.353854327920431E-5,0.9741741195997851-0.2257861040161352i,1.2992367592304886E-4-28.445621920875013i,9.339901629606736,738014.2037769908
81,0.07400000000000001,81,0.8008865042821791-0.598815581072975i,-3.0709968487788814E-6,0.9726095213256354-0.23244356713794362i,1.6603684161698838E-5-28.121122050214673i,9.339901629606318,5656723.250271628
81,0.07600000000000001,81,0.7968234088926943-0.6042121259351368i,-7.03181750122025E-7,0.9710174231980326-0.23900837209663633i,3.725797364868276E-6-27.807082130623897i,9.339901629606162,2.470453659172887E7
81,0.078,81,0.7926842679868933-0.6096324990388934i,5.758671626191978E-7,0.9693649465544152-0.2456251880200382i,-2.9903024537774148E-6-27.496359138664555i,9.339901629606526,-3.016629594569163E7
81,0.08,81,0.788545357188051-0.6149766871728685i,4.6082527701398827E-7,0.96768249265106-0.2521719641942338i,-2.346087220610139E-6-27.194482428099843i,9.339901629606201,-3.7697105862111196E7
81,0.082,81,0.7843206136563251-0.6203562664521509i,3.1370498656887938E-6,0.965935256020199-0.2587852459277367i,-1.5658039515590535E-5-26.894983752788587i,9.339901629606192,-5537616.557851409
81,0.084,81,0.7801103846043966-0.6256432215990063i,7.178449307961817E-6,0.9641646431333533-0.2653077342105511i,-3.514388888147622E-5-26.604792180944354i,9.339901629606281,-2419990.520342143
81,0.08600000000000001,81,0.7758162304732769-0.6309594582581319i,2.8725580797513833E-6,0.9623285780536455-0.2718903626324561i,-1.3793971558111611E-5-26.31698458548934i,9.339901629606276,-6047494.529441552
81,0.088,81,0.7715340183439023-0.6361839654795322i,-2.2672857961736113E-5,0.960467129345115-0.2783840384122368i,1.0683504188479616E-4-26.037879736984213i,9.33990162960693,766192.7448924404
81,0.09,81,0.7671607039676005-0.6414567334913722i,9.930798554380683E-6,0.9585411593872879-0.2849581239655392i,-4.591466615889969E-5-25.76015295578816i,9.339901629606185,-1749283.2205340997
81,0.092,81,0.762819197813968-0.6466119636598034i,6.953120662895297E-7,0.9565978191381486-0.2914116890614905i,-3.155914963821664E-6-25.49197798058994i,9.339901629606306,-2.4984147581696652E7
81,0.094,81,0.7583807435416344-0.6518128024843794i,5.566163376682758E-6,0.9545835393868591-0.29794554534169443i,-2.4799830046599038E-5-25.224912597617973i,9.339901629605945,-3120961.08255619
81,0.096,81,0.7539630168081365-0.6569178645000634i,5.695393816827779E-6,0.9525503385879879-0.30438325162475627i,-2.4919978637891156E-5-24.966001995826286i,9.339901629606075,-3050145.4041401413
81,0.098,81,0.7494393920461055-0.6620731461161857i,1.0994537801745664E-6,0.950439808105902-0.3109090290201245i,-4.7237748586707345E-6-24.70770678257887i,9.33990162960634,-1.580037251424929E7
81,0.1,81,0.7449654844753045-0.6671041151727158i,6.399497747278558E-6,0.948325665794244-0.31730096932691665i,-2.7012897315153E-5-24.45867260784557i,9.339901629605851,-2714553.5415994185
81,0.10200000000000001,81,0.7403633966701936-0.6722077871735256i,5.508004693532034E-6,0.9461226446802897-0.323810453026039i,-2.283772134864789E-5-24.20895475614572i,9.339901629606073,-3153915.119126773
81,0.10400000000000001,81,0.735837017265291-0.6771599371450929i,7.367592158318996E-6,0.9439290935029239-0.33015081840118904i,-3.0024636854277138E-5-23.969412032065723i,9.339901629606022,-2357863.858974704
81,0.10600000000000001,81,0.7311597154092154-0.6822068952606077i,3.376110194440954E-6,0.9416345422081749-0.33663803453977587i,-1.3519075080449127E-5-23.727971355659943i,9.339901629606405,-5145501.265838297
81,0.10800000000000001,81,0.7265675442832055-0.6870952611725683i,1.2782653947295153E-6,0.9393553103019048-0.3429459073077558i,-5.032641229766839E-6-23.496660169232655i,9.339901629606194,-1.3590119355348991E7
81,0.11,81,0.7218253024135998-0.6920765352338968i,7.3735576755899135E-6,0.936975107387434-0.3493985488838591i,-2.85353808038495E-5-23.263478518496918i,9.339901629605995,-2355956.2481903294
81,0.112,81,0.7171653996274272-0.696903818117303i,4.960201442887189E-6,0.9346094839059638-0.3556771776798031i,-1.8879536158484038E-5-23.039810814811247i,9.339901629606315,-3502232.6157160564
81,0.114,81,0.7123463320589157-0.7018282112241391i,5.857236593770479E-7,0.9321362048884609-0.36210803692268856i,-2.1920373535627444E-6-22.81393934730872i,9.339901629606283,-2.9658660674379326E7
81,0.116,81,0.7076197331714601-0.706594138819516i,4.1856749630059465E-6,0.9296850327375354-0.36835676143047763i,-1.5411400543383843E-5-22.597517734379267i,9.339901629606356,-4150293.4237207714
81,0.11800000000000001,81,0.7027280791325987-0.7114552038140559i,-2.0584584497446362E-5,0.9271200151216268-0.37475823913073136i,7.454453687486589E-5-22.378790584966772i,9.339901629606066,843921.7841945217
81,0.12000000000000001,81,0.6979545192186134-0.7161422562345805i,1.0512636986313921E-6,0.9245944715793541-0.38095315353378606i,-3.7468333416549475E-6-22.17002909812794i,9.3399016296066,-1.6524663871937389E7
81,0.12200000000000001,81,0.6929937692800681-0.720944132400953i,3.5017339270020153E-6,0.9219425604063471-0.38732766698978244i,-1.2278935872861793E-5-21.9580278100327i,9.339901629605816,-4960907.834116228
81,0.124,81,0.6881666403678867-0.7255530112689584i,2.1587760450928223E-6,0.9193368564409246-0.39347203390583735i,-7.452636695170963E-6-21.756333536259213i,9.3399016296066,-8047050.232060682
81,0.126,81,0.6831401367196385-0.7302879115106102i,3.822206053093389E-6,0.9165980346524081-0.39981110910928686i,-1.2985887182680848E-5-21.55091715069205i,9.339901629606077,-4544961.478906163
81,0.128,81,0.6782352866832962-0.734845177945864i,2.343681098683744E-6,0.913900520125086-0.4059388857546895i,-7.84124507287853E-6-21.35485115186109i,9.339901629606107,-7412177.060553159
81,0.13,81,0.6731451266192187-0.7395106069459223i,1.2997421307644902E-6,0.9110757245561741-0.4122394005928746i,-4.2808229911741566E-6-21.155764465346714i,9.339901629606123,-1.3365558341896804E7
81,0.132,81,0.6681915975088982-0.7439898648002297i,4.038532725251347E-6,0.908302604617669-0.41831484357086335i,-1.3102705879950246E-5-20.966141391513474i,9.339901629606613,-4301507.615635052
81,0.134,81,0.6630283545610935-0.7485959453458978i,1.0806711210102616E-5,0.9053871916245013-0.4245898274601129i,-3.4524253457428924E-5-20.772654009858737i,9.339901629606073,-1607499.1676748425
81,0.136,81,0.6580249246567249-0.7529970181077311i,5.692505211440377E-6,0.9025372746198785-0.430613258818566i,-1.7919818535889682E-5-20.589104094444604i,9.339901629606148,-3051693.170713005
81,0.138,81,0.6528027387285515-0.7575280659446261i,8.094610123672858E-7,0.8995380116975447-0.436842708416349i,-2.5098325132147853E-6-20.401485905199294i,9.339901629606137,-2.1460921537139572E7
81,0.14,81,0.6477262712317405-0.761874035828149i,5.945108883897059E-6,0.8965992011751567-0.44284448891785555i,-1.8167877054470242E-5-20.22281236437964i,9.339901629606315,-2922028.7829569397
81,0.14200000000000002,81,0.6424457441275532-0.7663335973922548i,1.614113139433648E-5,0.893518046151369-0.4490314218867094i,-4.859770307369617E-5-20.04071151730229i,9.339901629606112,-1076242.9752428941
81,0.14400000000000002,81,0.6373063192637646-0.7706078210712466i,-1.8420771099538303E-5,0.8904930022130959-0.45499227628522354i,5.467573219569199E-5-19.86714411629328i,9.339901629606146,943053.8592759719
81,0.14600000000000002,81,0.631962110108924-0.7750000068923972i,4.861040386508398E-6,0.8873266802203289-0.46114258301062344i,-1.421875110603689E-5-19.690103231111802i,9.339901629606182,-3573675.15860068
81,0.14800000000000002,81,0.6267714150891898-0.7791992593208829i,-2.6524620313008152E-5,0.8842248554430667-0.4670549191645518i,7.650708885171654E-5-19.521656440687536i,9.339901629606572,654930.3654913506
81,0.15000000000000002,81,0.6213563726548679-0.783528614135384i,3.6090192177829645E-6,0.8809686015085247-0.4731756060532333i,-1.0260851888960063E-5-19.34920883531793i,9.339901629606155,-4813434.95987352
81,0.15200000000000002,81,0.6161375527649934-0.787634642553542i,-2.686520237955316E-5,0.8778040138228282-0.4790134939583778i,7.5342810581002E-5-19.18634105607083i,9.339901629606201,646627.5232536445
81,0.15400000000000003,81,0.610643669133516-0.7919020705808985i,-2.3538637278980076E-5,0.8744508338461994-0.485108564373836i,6.508203049263177E-5-19.018083058491918i,9.339901629606075,738011.2565657019
