% Model,cap_for_S11.mph
% Version,COMSOL 6.2.0.339
% Date,"Jun 20 2024, 22:28"
% Table,Table 3 - Global Evaluation 3
% lcap (m),freq (MHz),S11 (1),TEM port impedance (Ω),TEM mode port characteristic impedance (Ω)
0.01,96,0.8760590815730711-0.4822074973632495i,-1.3522841535428353E-4-36.37914156128611i,9.33990162960615
0.011,96,0.8740968388105747-0.4857508242487298i,3.168005969145005E-5-36.07595713185929i,9.339901629606151
0.012,96,0.872176363529331-0.4891930400922777i,-5.265381646642716E-5-35.78542129691269i,9.339901629606148
0.013000000000000001,96,0.8701874945822327-0.4927222399374939i,-5.335551617303621E-5-35.49135942244515i,9.33990162960615
0.014,96,0.8681708603526446-0.49625913695621765i,2.208172131870992E-4-35.20033796014795i,9.339901629606144
0.015,96,0.866160668797772-0.49976134746611783i,1.4991060533794403E-4-34.91606938831603i,9.339901629606146
0.016,96,0.8641680897477422-0.5031971823906727i,2.1025072503705423E-4-34.640618412096906i,9.339901629606139
0.017,96,0.8621327096060485-0.5066839491981825i,-4.860685811550554E-5-34.36474520910401i,9.339901629606151
0.018000000000000002,96,0.8600682065381728-0.5101744408229787i,1.5770499847726687E-4-34.09173473303718i,9.339901629606148
0.019000000000000003,96,0.8580044442909234-0.5136378156609236i,1.5040362875861965E-4-33.82429110634035i,9.339901629606148
0.02,96,0.8559613928022555-0.517041716442043i,-6.629664270027214E-5-33.56472330363338i,9.339901629606146
0.020999999999999998,96,0.8538599535846888-0.5205033541454418i,-1.7979815445152193E-5-33.30373449373834i,9.339901629606146
0.022,96,0.8517410377685759-0.5239648738296632i,-6.257784782069013E-5-33.045915652572084i,9.33990162960615
0.023,96,0.849605627084805-0.5274131631482186i,1.7513972665160853E-4-32.7919309661398i,9.339901629606143
0.024,96,0.8475282227648702-0.5307533669244837i,-9.88848169485918E-5-32.549039824342664i,9.339901629606148
0.025,96,0.8453513270874558-0.5342060399114303i,1.5239207713981968E-4-32.30049318553627i,9.33990162960615
0.026000000000000002,96,0.8432020474506473-0.5375986988131952i,-6.123819967676434E-5-32.05933106788486i,9.33990162960615
0.027000000000000003,96,0.841013710401026-0.5410128103927851i,3.1698093191517946E-5-31.819168474801018i,9.339901629606143
0.028000000000000004,96,0.8388594834735635-0.5443500143622657i,-6.299289701134275E-5-31.587120755420674i,9.339901629606151
0.028999999999999998,96,0.8366536765820226-0.5477340220619519i,-5.533925080673888E-5-31.3543110633514i,9.33990162960615
0.03,96,0.834429785750992-0.5511168150308835i,-7.937959472406622E-5-31.124131635465538i,9.33989970310122
0.031,96,0.8321938558237553-0.5544837620246569i,3.187290171632612E-5-30.897399875589194i,9.339901629606144
0.032,96,0.8299704030716674-0.5577995699661336i,2.4114840516774278E-4-30.676395554831107i,9.339901629606148
0.033,96,0.8277209801161525-0.5611417166536634i,-5.555359682661953E-5-30.456294479958327i,9.339901629606146
0.034,96,0.825433571850719-0.5645015342159558i,-6.86606259583515E-5-30.237138622651955i,9.33990162960615
0.035,96,0.8231589358803978-0.5678123583874775i,-3.986964372586715E-5-30.023363783146287i,9.339901629606148
0.036000000000000004,96,0.8208732595473027-0.571094665503328i,4.691748983707095E-4-29.813224474697083i,9.339901629606148
0.037,96,0.8185705670669323-0.5744081606976363i,-6.463769933117662E-5-29.60392772091611i,9.33990162960615
0.038,96,0.8162378678317799-0.5777197979323366i,-1.1249879678605314E-4-29.396490376041555i,9.339901629606144
0.039,96,0.8138822179435012-0.581015514039121i,4.197197144298068E-4-29.19166276971076i,9.339901629606151
0.04,96,0.8115879898455864-0.5842304903998584i,-8.217833805525814E-6-28.99444052397035i,9.33990162960615
0.041,96,0.8092105465170755-0.5875156164714538i,9.046870903071843E-5-28.794446311724524i,9.339901629606143
0.042,96,0.8068162372624448-0.5908054065786794i,-8.395728929563107E-5-28.59627203679175i,9.339901629606146
0.043000000000000003,96,0.8044452157064731-0.5940292257463452i,-6.75658976714774E-5-28.40375172723276i,9.339901629606151
0.044000000000000004,96,0.8020698864472106-0.5972318643322847i,-4.730119513804751E-5-28.21424148455859i,9.339901629606151
0.045000000000000005,96,0.7996511255651554-0.6004679679422308i,-8.641496590367485E-5-28.024534240383748i,9.33990162960615
0.046000000000000006,96,0.7971932718867025-0.6037285982298359i,-1.2294136945216686E-4-27.83512391282014i,9.33990162960615
0.047,96,0.7947529209923726-0.6069305437614265i,7.08342997655506E-5-27.650613891488153i,9.339901629606146
0.048,96,0.7923589771432691-0.6100554354094908i,-8.622194195559591E-6-27.472312628027673i,9.33990162960615
0.049,96,0.7898635831310725-0.6132845660283835i,-5.426215192643351E-5-27.289631518470344i,9.339901629606148
0.05,96,0.7873592011830493-0.616497782080713i,-8.854013812010716E-5-27.10942400704344i,9.339901629606151
0.051000000000000004,96,0.7848750719752585-0.6196506549615003i,9.10010555994277E-5-26.933939531546635i,9.339901629606146
0.052000000000000005,96,0.7824180853631943-0.6227493519262817i,1.1140072543867897E-4-26.76302152488932i,9.339901629606148
0.053000000000000005,96,0.7798958384838839-0.625910936053132i,-4.288080569964615E-5-26.5902103748486i,9.339901629606151
0.054,96,0.7773306650445572-0.6290969130409302i,-1.236435116703663E-4-26.417449050656653i,9.33990162960615
0.055,96,0.7748155096543885-0.6321894413732142i,-5.32292195872527E-5-26.25099504180388i,9.33990162960615
0.056,96,0.7722877730834674-0.6352683578780912i,1.1721697124213176E-4-26.08649896338279i,9.339901629606148
0.057,96,0.76971230374428-0.6383907901266767i,3.4218237989765597E-6-25.921224640637018i,9.339901629606143
0.058,96,0.7670882208549212-0.6415468075113788i,-1.333809808967734E-4-25.75551150823009i,9.339901629606151
0.059000000000000004,96,0.764537212900247-0.6445799420290337i,-8.96637897414691E-6-25.59726528606509i,9.33990162960615
0.060000000000000005,96,0.7619441518021528-0.6476187611211379i,6.098421772892831E-4-25.439488165573298i,9.339901629606148
0.061000000000000006,96,0.7593402307507936-0.6506979138840662i,-1.0415034386044242E-4-25.281949542852114i,9.339901629606151
0.062000000000000006,96,0.7566445464857967-0.6538269594837834i,-1.2731162809799814E-5-25.122371227299308i,9.339901629606148
