% Model,TWA_Ragonal_like_plasma_with_caps_different_lengths_CF.mph
% Version,COMSOL 6.2.0.339
% Date,"Aug 15 2024, 11:19"
% Table,Table 14 - Global Evaluation 1
% freq (MHz),S11 (1),S21 (1),S31 (1)
81,0.7598591186986878+0.01588722857650291i,0.09618478269331122+0.4493411621213277i,0.09622927830205219+0.44900726676974695i
82,0.7280263324780426-0.08122175591259483i,0.171450932881438+0.44974377160160356i,0.17145467500717457+0.4494329831696129i
83,0.6747135971251683-0.17291295367295995i,0.25575499537106694+0.4381718831053512i,0.25572681073948145+0.4378839584139982i
84,0.5998036407982991-0.25312508278181906i,0.34765170935173434+0.40889398291632895i,0.3476005597416158+0.4086274043529786i
85,0.5055823125214065-0.314642199865184i,0.44275955556701263+0.3558531994156729i,0.4426945946760276+0.35560342014667756i
86,0.3978228630898852-0.35041157579663673i,0.5331307260276794+0.274257270159908i,0.5330597642679694+0.27401451858106757i
87,0.2859680450745053-0.35575801451571987i,0.6076905032010878+0.16280345758024925i,0.6076161849154215+0.16255142079219062i
88,0.1816385582888527-0.33071230388381406i,0.6543034827023076+0.02561312574761963i,0.6542174795262762+0.02533039850368191i
89,0.09555297693410342-0.28100685263467046i,0.6630502580258175-0.12747987591192053i,0.6629274306359433-0.12781370652680699i
90,0.03428588545052058-0.21670456954639408i,0.6291263654335291-0.28293141784083037i,0.6289225176950817-0.28332431485868864i
91,-0.001262241734828619-0.1490187527130404i,0.55373865984764-0.4268240254391493i,0.5533958367521061-0.4272577224089975i
92,-0.015001694037791075-0.0871678359561202i,0.4427944835907764-0.5476647073231312i,0.4422559409971876-0.5480830280219959i
93,-0.013357054732834312-0.03679449162769715i,0.3046303312619088-0.6374779761569613i,0.30386375368790824-0.6377841857008958i
94,-0.003051506076458803-1.3919760593687023E-4i,0.14817440836944032-0.6914055783837012i,0.14719758234153973-0.691473900957409i
95,0.010105782735645528+0.022809983548078894i,-0.01789245126403972-0.7067264529613433i,-0.018992037021418162-0.7064289597484567i
96,0.021306342933162862+0.033105984736188435i,-0.18517810873870996-0.6820221288173904i,-0.18623818626932834-0.6812675587978287i
97,0.026027860504502606+0.03221012408243598i,-0.3452295706261442-0.616715512903345i,-0.3460294811744395-0.6154928500292277i
98,0.01900719159045875+0.022331128133551703i,-0.4889773623106778-0.5109149884134987i,-0.4892805810222084-0.5093300835826176i
99,-0.006442209109671101+0.008010710322059291i,-0.6058343856745346-0.36561090426244847i,-0.6054548658830893-0.36389900252051277i
100,-0.057658827651936084-9.447939206560827E-4i,-0.6822685670296241-0.18384132746833168i,-0.681145377646944-0.18233945967298815i
101,-0.13840689250944047+0.014012724669182542i,-0.7005539706813995+0.025729081893883027i,-0.6988093650753194+0.026653573119466794i
102,-0.23889749024234572+0.08025625625143705i,-0.6411505215525721+0.24164229440002707i,-0.6391075242747489+0.24169890961018903i
103,-0.32315515154800745+0.22143673586160523i,-0.4953605775785423+0.423233349582421i,-0.49349035806595115+0.422333507659313i
104,-0.3329836155464229+0.42814713867645177i,-0.28721071161042655+0.5211245571829826i,-0.28597932971449785+0.519461188770671i
105,-0.2281341953271769+0.6414623058263879i,-0.07646238710398033+0.5132116557781857i,-0.0761436726184486+0.5111784089827521i
106,-0.025677758989683833+0.7893272092658298i,0.08022784858381349+0.4272472470976957i,0.07956128328456225+0.42521872463870414i
107,0.21830282056006775+0.8377166145861547i,0.1661358725772733+0.3137447959068028i,0.1642590028189564+0.311969271891118i
108,0.453626112350602+0.7944654472404938i,0.1976039328434421+0.20798134975152596i,0.19243741003448414+0.20841012354049052i
109,0.6535726623094837+0.6833980956531992i,0.19112907796478235+0.1250594431001183i,0.1930153024830706+0.12676627581339242i
110,0.8084748585509114+0.5263622510876792i,0.1730633396360831+0.06630803606261759i,0.17381080690391448+0.06639915993976929i
111,0.9159559915168572+0.33903986042687684i,0.14890343143000337+0.02526333546331556i,0.14922405483502513+0.025168338446681576i
