% Model,TWA_Ragonal_like_plasma_with_caps_different_lengths.mph
% Version,COMSOL 6.2.0.339
% Date,"Jul 18 2024, 18:48"
% Table,Table 14 - Global Evaluation 1
% freq (MHz),S11 (1),S21 (1)
81,0.43343166276541745-0.6811075609435117i,0.4975122805135087+0.316918701832649i
82,0.19347398587636283-0.7353426195936267i,0.6278307755214051+0.16564628358791758i
83,-0.05967192689460721-0.6797971809861326i,0.7281052228435219-0.06321633903821008i
84,-0.25909232646148184-0.5096617087511855i,0.7317538681130293-0.3708212707602345i
85,-0.33735107503535855-0.2781056829286207i,0.5732109096129039-0.6929300773893647i
86,-0.28955798683642525-0.0796451160859582i,0.2549926569714125-0.9190511541710761i
87,-0.18205759952487693+0.02673981424043999i,-0.1400374272706072-0.9728172993432513i
88,-0.0856799468795258+0.05200679143723263i,-0.5133112006520363-0.8522273181246905i
89,-0.02909700647544602+0.03902131837631288i,-0.7989319189261779-0.5992931528077936i
90,-0.006030353136061446+0.02162965976270344i,-0.9637374720602316-0.26554463199122114i
91,0.0010157981218201792+0.012896066006689471i,-0.9949077845766378+0.09897873107987448i
92,0.0050949552162286305+0.011198694245668623i,-0.8944699576753558+0.44673998837228196i
93,0.010381231028128114+0.010405873661960862i,-0.6783154004630014+0.7344905630203181i
94,0.015139508158756403+0.006911467595763669i,-0.37492957415039246+0.9267986194590337i
95,0.016865624773865842+0.001211112809946441i,-0.022624577005439753+0.9995038479997219i
96,0.015312836331198332-0.004474423981309128i,0.33421949750194313+0.9422573967833004i
97,0.011977717490323062-0.008985359384791586i,0.6495720752084794+0.7600249740645433i
98,0.007826332031527085-0.012486328109612007i,0.8806564697993985+0.47332093510165096i
99,0.002664708036687733-0.014073811720462551i,0.9929398729372951+0.1169226799128286i
100,-0.0016394561727848306-0.009862761538022432i,0.9646499542163912-0.26298323189657774i
101,0.004322627464841122+0.003908246724603057i,0.7900363418932814-0.6128757105998393i
102,0.039108976038837166+0.020319021634401722i,0.4810686138703862-0.8754608213390411i
103,0.11885053272243315+0.0075367852921987165i,0.07139095083885995-0.9902055134312753i
104,0.22421356973754955-0.09264501276457016i,-0.3666802013822357-0.8980295007112055i
105,0.26276012647095415-0.31610302056576695i,-0.6995814159725527-0.5842782935242056i
106,0.11884219825399721-0.5801651588431138i,-0.7890328601931305-0.16278499763077378i
107,-0.18784770605851445-0.7176955004511347i,-0.6487311147182859+0.16917276506186985i
108,-0.5109314316429432-0.6683088064867894i,-0.42964162252823884+0.3280649146812746i
109,-0.7492460130297963-0.4972923558563897i,-0.2419966947819744+0.36430470951595484i
110,-0.8875475245534188-0.28183250660106995i,-0.11037325997764254+0.34731079185675123i
111,-0.9457091779844953-0.06476966258180719i,-0.021793578077416872+0.3177302033965925i
