% Model,TWA_Ragonal_like_plasma_with_caps_different_lengths.mph
% Version,COMSOL 6.2.0.339
% Date,"Jul 19 2024, 17:52"
% Table,Table 14 - Global Evaluation 1
% freq (MHz),S11 (1),S21 (1)
81,0.6069654474588123-0.327643284472276i,-0.3439389093996939-0.636901757924701i
82,0.4844505098555672-0.5143022596609194i,-0.5150049364418293-0.485065419590445i
83,0.2890632909705245-0.6222395740035189i,-0.6596027586158001-0.3064934841490197i
84,0.05974127350755949-0.632045394343238i,-0.7690447067773714-0.07291039517725495i
85,-0.15098379193463532-0.533329648946895i,-0.8008847791998738+0.2262347625151546i
86,-0.2807414698520562-0.3501197100976333i,-0.6977010559984262+0.5582775684940993i
87,-0.29404999889577166-0.15047784197386263i,-0.43144412203685445+0.8394113999986113i
88,-0.21627871322601624-0.008855738684418137i,-0.042992831761043224+0.9752675193421578i
89,-0.11302757533131344+0.04677895793634144i,0.3741371983939668+0.9191783058965164i
90,-0.03715961869993493+0.040306442631884404i,0.7254109958753403+0.6859959930540109i
91,-0.003741470036159109+0.01268048407262073i,0.944719513954809+0.3273242505558619i
92,-1.7732060051985977E-4-0.007271480081850284i,0.9957694882506969-0.09055390913186145i
93,-0.005799329264810536-0.010767978226328453i,0.8684212825942964-0.49548450858116116i
94,-0.005323361706110607-0.00388085655029743i,0.5793498414110124-0.8149353325927842i
95,0.005793166065295291+0.0011876081751136228i,0.1736685993058338-0.9846883949222219i
96,0.02107158064337449-0.005656395608358626i,-0.27700146937547265-0.9605199875361725i
97,0.02662747812247288-0.02403394043016418i,-0.6821391293270131-0.730207887022749i
98,0.012893424550626012-0.03547691919038067i,-0.9457807299601141-0.3223057650907465i
99,-7.049985203915634E-4-0.007811462348563575i,-0.9813706901992457+0.1914670347969671i
100,0.06072167370253316+0.06240360380894581i,-0.719450972138857+0.688916517731417i
101,0.28270315114789507+0.04423183308460309i,-0.14939370487676742+0.9463390280117335i
102,0.4807013102057547-0.30813547151458515i,0.4430539876483767+0.690940277842341i
103,0.24129083412661953-0.7695272233077116i,0.5641140074412738+0.1764800625105878i
104,-0.23639786805361881-0.892164129003751i,0.371811912056384-0.0988406953660921i
105,-0.616477250494399-0.746829929830504i,0.19209135551540218-0.15883425903333948i
106,-0.844878314109846-0.5079317012211949i,0.0863327134584526-0.14387352310904997i
107,-0.9590684582329989-0.2570009665233077i,0.030674318199581347-0.11483381700443453i
108,-0.9957947291579031-0.021785972752133353i,0.0018790639579724226-0.0889493966598236i
109,-0.9790985141773044+0.1907202285390492i,-0.013551116888593867-0.06930347875185046i
110,-0.9225234399152118+0.38125993755603826i,-0.022877012456691295-0.05524792401694162i
111,-0.8309628873221571+0.5536096381925842i,-0.030318320327966115-0.04544205160764445i
