% Model,TWA_96MHz_flat_plasma_for_Sij.mph
% Version,COMSOL 6.2.0.339
% Date,"Apr 5 2024, 10:36"
% Table,Table 3 - Global Evaluation 1
% freq (MHz),S11 (1),S21 (1)
90,0.7642638312560088+0.3953522981391272i,-0.2248052924754329+0.43561923892909343i
91,0.7733506370155621+0.29858182318334436i,-0.19507770912568465+0.5052991063359809i
92,0.758458781556796+0.18370668157371087i,-0.14429009054053507+0.5924020387277494i
93,0.7023564817292051+0.053014927305131555i,-0.05467223705879796+0.6944616324413052i
94,0.5802067609498393-0.07617639400330145i,0.0989630875468732+0.7940274045354323i
95,0.37458784872380385-0.1547710834759328i,0.3343151066298537+0.8419787582980627i
96,0.12184748458114184-0.10763081434746967i,0.6154576330110844+0.7632235008584245i
97,-0.06505830427704255+0.08493320370961537i,0.8300977489597571+0.5378338688335214i
98,-0.10425429122544426+0.327260767800891i,0.8968078242204236+0.26070991471065474i
99,-0.02911968254275256+0.5165262672471823i,0.8488740069956672+0.03385648842218768i
100,0.08957049619612864+0.6272650697230692i,0.7567806530396928-0.11782253005380716i
101,0.20964442087868818+0.677305469773923i,0.6624670650754195-0.21263640702026326i
102,0.31633797538011155+0.6884940280520954i,0.58049056820874-0.27302104796998095i
