% Model,TWA_96MHz_HFS_plasma_with_caps_topfed.mph
% Version,COMSOL 6.2.0.339
% Date,"Apr 29 2024, 13:52"
% Table,Table 9 - Global Evaluation 1
% freq (MHz),S11 (1),S21 (1)
79,-0.033086004844962616+0.017639255913414014i,-0.6304295059068699-0.768146895651901i
80,-0.07801697891569116+0.6082620269343619i,-0.7782138470891079-0.0879176108597076i
81,0.18918458355726053+0.7386816141929937i,-0.6145739893926768+0.1649499785795431i
82,0.38827222692972707+0.6992055215931198i,-0.5101459171784228+0.29012714198130457i
83,0.5324686894166937+0.5906007532091916i,-0.43569889923010646+0.40030738230741536i
84,0.6260678850230564+0.43187594511382754i,-0.35581902364857637+0.5255972396380899i
85,0.6503709321271834+0.23154719155741474i,-0.23282855294465593+0.6710086652715195i
86,0.5691072288335611+0.01923087611577327i,-0.02165576004987908+0.810720838666118i
87,0.3617266460991268-0.12417276221696391i,0.30178743595138385+0.8643068620911503i
88,0.10215129713072603-0.09372707810739389i,0.6637926010579234+0.7262950168973145i
89,-0.04779227784774781+0.10033209899035844i,0.9007232591480319+0.4067119257392218i
90,-0.02069395935887903+0.3120052904955201i,0.9424979661648349+0.05175887045563774i
91,0.1144869467623125+0.43573218004712116i,0.8544123092456445-0.2328430143151267i
92,0.27527290706222457+0.4597563649578653i,0.7136007807450769-0.4347229790355155i
93,0.41695124077508566+0.40854395688646766i,0.557539801064705-0.5763058237170341i
94,0.5206262429893246+0.3074310061984503i,0.39598753581737806-0.6783614215791728i
95,0.5777069947743549+0.1763293879114508i,0.2266510929316345-0.7521188038770685i
96,0.5827486314251905+0.03255010698106446i,0.043201691167547907-0.7995693408450547i
97,0.5320550595040777-0.10507474667713292i,-0.16049068437384537-0.8139620294515765i
98,0.42642671303170243-0.21274566162943137i,-0.38586199146358585-0.7795106934899709i
99,0.27825545355344733-0.26119432826809413i,-0.6221787611276456-0.6727348409838578i
100,0.12134996684626813-0.22361116188203353i,-0.8367578548817939-0.4714159456802116i
101,0.012679499453130018-0.09726776508872946i,-0.9733935304946808-0.17678892173823602i
102,0.006998732705950614+0.07372566604600289i,-0.977871431767921+0.16346063545265896i
103,0.1120449584517198+0.21182264427278885i,-0.8427826879647642+0.46853601928631916i
104,0.27821948039102423+0.2592711474569353i,-0.6176039934453332+0.677689654912797i
105,0.4399691230449937+0.20996838382157978i,-0.36693841958573437+0.7817716815617161i
106,0.554134933084072+0.0925339625326207i,-0.13176266859543265+0.8057117387806125i
