% Model,TWA_96MHz_flat_shorter_straps_plasma_with_caps.mph
% Version,COMSOL 6.2.0.339
% Date,"Apr 9 2024, 15:15"
% Table,Table 3 - Global Evaluation 1
% freq (MHz),S11 (1),S21 (1)
79,0.4259743265843112+0.8223526197234761i,-0.31517199697581216+0.16538618381189935i
80,0.491953146076755+0.7612579557202483i,-0.33708331094115557+0.220285593837094i
81,0.5580101233908115+0.6685877714909908i,-0.36235507050797733+0.30540807342280557i
82,0.6100673733314731+0.5219942509902008i,-0.3758751495462496+0.44322317171572223i
83,0.5948750112540555+0.29362059395899326i,-0.3236531027125376+0.6615999005734291i
84,0.3766540475566151+0.028837445688426364i,-0.06937100972448731+0.915111818340793i
85,-0.06479596964039513+0.02651323105359046i,0.40759906121997486+0.904838178489281i
86,-0.3007612413026908+0.3584358404764125i,0.6790203329718797+0.5588826140839088i
87,-0.25515798992488764+0.6411461717644392i,0.6692308845022495+0.2604023918892169i
88,-0.13490952538013085+0.7876043375882131i,0.5854783747664108+0.09608387534112463i
89,-0.02034786693150372+0.8545673294705745i,0.5084379945151857+0.008752588130728949i
90,0.07655385100104226+0.8818632751042319i,0.45046617048470583-0.04197782996610266i
91,0.15857762679971826+0.8882616082085703i,0.4092075193722241-0.07564114028044656i
92,0.23000487500183395+0.8821830538580344i,0.3808555056231858-0.10171899480578334i
93,0.2943165259040399+0.8672605210752357i,0.3624493151172243-0.1253437733657575i
94,0.3540787333129665+0.8446795609117316i,0.3519575822229998-0.1498687618063423i
95,0.41112875970428775+0.8140686651647643i,0.34799225373779274-0.17813760811740417i
96,0.46665208961083127+0.7736781777772844i,0.3494542554359047-0.21330186573449986i
97,0.520972018353177+0.7200847627764265i,0.3550158472389021-0.2596029075371666i
98,0.572689284951929+0.6474278096580246i,0.36205823124728803-0.3233822981661194i
99,0.6161928488830729+0.5462655958872203i,0.36404578195679327-0.4143586084231404i
100,0.6349951311904394+0.40337220880934543i,0.34377186472666144-0.5459022737813749i
101,0.5867089380409104+0.21062620514937014i,0.2582768318319738-0.7261863998792709i
102,0.39223385116335885+0.012183965739924283i,0.027998593262354828-0.911039184727077i
103,0.03748441019649701-0.016886288705088053i,-0.3615290867042577-0.9253424153881242i
104,-0.233895631457636+0.22970735430942316i,-0.6670367136689722-0.662729076562658i
105,-0.2584950696729468+0.5267228595423189i,-0.7254985380322356-0.34825999820710457i
106,-0.15738971612197353+0.7163622621415632i,-0.6583245487344495-0.13945042927587342i
