% Model,TWA_96MHz_flat_shorter_straps_plasma_with_caps.mph
% Version,COMSOL 6.2.0.339
% Date,"Apr 9 2024, 18:03"
% Table,Table 3 - Global Evaluation 1
% freq (MHz),S11 (1),S21 (1)
79,0.4259743265843112+0.8223526197234761i,-0.31517199697581216+0.16538618381189935i
80,0.491953146076755+0.7612579557202483i,-0.33708331094115557+0.220285593837094i
81,0.5580101233908115+0.6685877714909908i,-0.36235507050797733+0.30540807342280557i
82,0.6100673733314731+0.5219942509902008i,-0.3758751495462496+0.44322317171572223i
83,0.5948750112540555+0.29362059395899326i,-0.3236531027125376+0.6615999005734291i
84,0.3766540475566151+0.028837445688426364i,-0.06937100972448731+0.915111818340793i
85,-0.06479596964039513+0.02651323105359046i,0.40759906121997486+0.904838178489281i
86,-0.3007612413026908+0.3584358404764125i,0.6790203329718797+0.5588826140839088i
87,-0.25515798992488764+0.6411461717644392i,0.6692308845022495+0.2604023918892169i
88,-0.13490952538013085+0.7876043375882131i,0.5854783747664108+0.09608387534112463i
89,-0.02034786693150372+0.8545673294705745i,0.5084379945151857+0.008752588130728949i
103,0.03748441019649701-0.016886288705088053i,-0.3615290867042577-0.9253424153881242i
104,-0.233895631457636+0.22970735430942316i,-0.6670367136689722-0.662729076562658i
105,-0.2584950696729468+0.5267228595423189i,-0.7254985380322356-0.34825999820710457i
106,-0.15738971612197353+0.7163622621415632i,-0.6583245487344495-0.13945042927587342i
