% Model,TWA_96MHz_flat_compare_plasma_withcaps_topfed_withPML.mph
% Version,COMSOL 6.2.0.339
% Date,"May 2 2024, 15:17"
% Table,Table 9 - Global Evaluation 1
% freq (MHz),S11 (1),S21 (1)
65,-0.25978597500804324+0.9577339282638511i,0.033336698917480444+0.004614784784492611i
66,-0.20334384593074992+0.9697125512389914i,0.04102361339055499+0.003264407458527568i
67,-0.14066925520318016+0.9786676757481437i,0.05112515270553797+7.813925949039681E-4i
68,-0.07041251423994375+0.9832653614788152i,0.06464271465768848-0.003663755033593137i
69,0.009319864599812978+0.9813129514525144i,0.08309419422372105-0.0116308489288472i
70,0.10123626130767147+0.9688918529754421i,0.10878939183525016-0.02623666368661576i
71,0.20908704782160828+0.9382554038272831i,0.1450702382261413-0.054199408042963186i
72,0.3366838584285161+0.8722468076003108i,0.19536803112155263-0.11132909385706448i
73,0.47751584715039824+0.7293667454879899i,0.2529462264617537-0.23732581759142404i
74,0.5447713350215115+0.42728214136093084i,0.23138215437453447-0.5122567229576989i
75,0.21874683135201628+0.10699179166303026i,-0.18786764887476257-0.7939751064243513i
76,-0.15075765170084104+0.36051612233708913i,-0.6580518332842533-0.488861993769106i
77,-0.0755364483428918+0.6467057525342812i,-0.6907949250215891-0.1291647904125682i
78,0.10101149324222101+0.742652928453564i,-0.6244932330630386+0.06879229069889607i
79,0.2663847932869454+0.7354980143929027i,-0.5658364471526971+0.19973939647706349i
80,0.40772968067369814+0.6673104554733564i,-0.5169918830640127+0.3157403027399129i
81,0.5195437217670628+0.550690360134563i,-0.4632713127468028+0.439896797764335i
82,0.5878398751983763+0.39027873934198987i,-0.38281612596309456+0.5815963062335304i
83,0.5871128338498688+0.19784072824254437i,-0.24543479444268174+0.7347777932273883i
84,0.4881361872986928+0.010473782551743522i,-0.019599641111701538+0.8645919641064341i
85,0.2909665158411199-0.09918069474166369i,0.29537405551857315+0.8990928428432741i
86,0.06857549850131471-0.06364839180085345i,0.6261815925014196+0.770563899427485i
87,-0.06555929182301251+0.09657424989958895i,0.8577955392239373+0.498517927469552i
88,-0.06382728625418896+0.28180426118353086i,0.9394358656771741+0.18153749498959712i
89,0.03628224616669188+0.41177668667834i,0.9039079141940803-0.10050333358193021i
90,0.17665835056107373+0.46318934841828485i,0.8034422031198649-0.3235516493219421i
91,0.31640855804715395+0.44472805178433855i,0.6719219716716508-0.49406465498972796i
92,0.43282849481367214+0.3731608595154782i,0.5238827319884394-0.6244777181726135i
93,0.5134381686546363+0.2647825540729472i,0.36262468823129596-0.7236129371800435i
94,0.5504663617912015+0.13476760305879065i,0.18635179985033232-0.7945120459983452i
95,0.5387431289792651-0.0010661068585746999i,-0.0080736099881209-0.8341579622422735i
96,0.47628233203358133-0.12420116182888584i,-0.22202839519517995-0.8332993132059223i
97,0.36739468165108585-0.21229828856145871i,-0.45106027967731016-0.7767082986686433i
98,0.22817844232050044-0.2411316871365214i,-0.6790888817949345-0.6459676313008653i
99,0.09185515580433226-0.19304531492129312i,-0.8729765536391381-0.4284075102965878i
100,0.005818313635092218-0.07296436160831868i,-0.9854132758395566-0.1334022761933206i
101,0.010750215195455637+0.07896947019636263i,-0.9757329513787065+0.19476495377461261i
102,0.11046550295158439+0.19982077594634653i,-0.8400464928471877+0.48912418594796975i
103,0.2650145770174512+0.2410164671984017i,-0.6181078720141544+0.6970666509610217i
104,0.41837102716240526+0.1934564772165836i,-0.36540340205130384+0.8053617848855542i
105,0.5289060520501632+0.07942017496527225i,-0.12219693985223329+0.8316916710947411i
106,0.5777146089917534-0.06886939969930089i,0.09538780203368856+0.8022257666599297i
107,0.5613694653225015-0.2222470837281029i,0.288572049407336+0.7365793773772142i
108,0.48308297386033755-0.3561798274507591i,0.46668767631872543+0.6422317828170094i
109,0.3489769889106764-0.44560395833684324i,0.6396341111442199+0.5121411347406193i
110,0.17342020800492294-0.45692050407516144i,0.8075431160589414+0.32144150108156777i
111,0.0018340104171946311-0.3466221417861225i,0.9363467184794462+0.029813811090001075i
112,-0.05312727066078986-0.1061824551196648i,0.9212251878000409-0.3711112509649907i
113,0.12477382189473227+0.12111593384806942i,0.6503051185822958-0.73894675991509i
114,0.4240002325732608+0.12287660116157977i,0.23683987456209268-0.8618636997440646i
115,0.6167474702192083-0.07013373475298515i,-0.09223374843919781-0.7710431903239053i
116,0.6509754004139588-0.3035625619394558i,-0.2908557303224555-0.6201209843850776i
117,0.5722214479908295-0.49892638653581467i,-0.41969787880636794-0.481182854077315i
118,0.41109765273214743-0.6306200842870229i,-0.5414446208725475-0.3538861947501731i
119,0.16487338480333538-0.6534595562429207i,-0.7086673934436372-0.18048915485854602i
120,-0.10656492302483139-0.38067935657263086i,-0.884153898960652+0.24482995392170007i
121,0.25892140828438615+0.11881743725153956i,-0.4056886436611671+0.8688658089726077i
122,0.7229980328281808-0.2245490002871069i,0.18680384967811664+0.616375188544001i
