% Model,TWA_96MHz_flat_compare_plasma_withcaps_topfed_withPML.mph
% Version,COMSOL 6.2.0.339
% Date,"Apr 30 2024, 16:01"
% Table,Table 9 - Global Evaluation 1
% freq (MHz),S11 (1),S21 (1)
79,0.2931639636264434-0.09191120760652946i,-0.2737325256415346-0.9033347808269999i
80,-0.1540318695340171+0.4662580839010205i,-0.8250458111760846-0.2619255580252689i
81,0.11429185303273708+0.7238899137463264i,-0.6620184428878343+0.1094479450913596i
82,0.33877623154192427+0.7183106655638156i,-0.5366913734395398+0.25685241054497937i
83,0.5002528314161195+0.6248311235921696i,-0.45504699105678353+0.36765408257650084i
84,0.6105128925995359+0.476759831809164i,-0.37870334034605124+0.48806518544441363i
85,0.6567433406056221+0.2825045312281197i,-0.27007447011896196+0.630136590350857i
86,0.6041985406345484+0.06359550824682678i,-0.08309551164332041+0.7782969447579302i
87,0.4198663603064173-0.1101283034539888i,0.22013684110562964+0.8642921042697645i
88,0.15074437209943456-0.12259057259322122i,0.5941918453255698+0.7721099518935344i
89,-0.0375825663324656+0.05554312249255871i,0.8729799219651415+0.47173850680298474i
90,-0.03799433129870858+0.2834998407329452i,0.9469420432404891+0.10299697422985628i
91,0.09237809109112664+0.4282941811017008i,0.868914527816582-0.2015880518914977i
92,0.2594409079260269+0.46502884837286423i,0.7270698543738506-0.41654232431489346i
93,0.40949643466946006+0.41868192582885155i,0.5674977233806096-0.5647495155717056i
94,0.5203155758973133+0.3175393518158348i,0.4028887881300392-0.6699469856472169i
95,0.58238163592714+0.1835883253898423i,0.2312286822377093-0.745425392643551i
96,0.589864953519768+0.0354304321547607i,0.045532479184530926-0.7941330822662348i
97,0.5386359633963762-0.10691780225700645i,-0.1612960078796273-0.8092784894971057i
98,0.4291965800062744-0.21786841633696155i,-0.39147415497706123-0.7738454605858329i
99,0.27487173368828155-0.265372576808348i,-0.6337063063726401-0.6617988842814524i
100,0.11352338008346712-0.2201181501070978i,-0.8514577837409417-0.4484107188239469i
101,0.00919167265388731-0.08154885820470012i,-0.9813734520209068-0.13697526979935007i
102,0.019765584648308333+0.09628799910214111i,-0.9657380560161098+0.21484378479814054i
103,0.1445526872269621+0.22636621446040753i,-0.8051351697560961+0.5163886415955279i
104,0.32118703372603846+0.25336038016747847i,-0.561557174657994+0.7087373741890658i
105,0.4795596647559644+0.1813987450807927i,-0.3040169402965715+0.7923872428470485i
