% Model,TWA_96MHz_flat_compare_plasma_withcaps_topfed_withPML.mph
% Version,COMSOL 6.2.0.339
% Date,"May 2 2024, 16:56"
% Table,Table 9 - Global Evaluation 1
% freq (MHz),S11 (1),S21 (1)
65,-0.3132869886066357+0.8426009564586942i,0.006663418031020561-0.0037915761406361877i
66,-0.27168821607693655+0.846703784606122i,0.007571896154433543-0.005237106828585007i
67,-0.22792178592882628+0.8481084087560627i,0.008520642414499856-0.007177710686045971i
68,-0.18204977222967314+0.8462587402716453i,0.009436235241686311-0.009782748675731392i
69,-0.13424325541403992+0.8404878862652982i,0.010176034180119864-0.013273639415501285i
70,-0.08484821487270838+0.8300055345375463i,0.010476695221090739-0.01792822666622382i
71,-0.034492376769698595+0.8139096181435864i,0.009873565688573954-0.0240661496446972i
72,0.015763114547897954+0.7912410958793898i,0.007569324587046947-0.031983337058922846i
73,0.06421570136251946+0.7611707350172027i,0.0022687940422675143-0.04176645923399747i
74,0.10833852537667162+0.7234250930149738i,-0.007955470096097808-0.052871003099632136i
75,0.14487867855141692+0.6790776305592865i,-0.025500002688315995-0.06334725051676926i
76,0.17080164535991124+0.6315340067935922i,-0.05220300614029574-0.06889313438857285i
77,0.18555647264060693+0.586629475839336i,-0.08697590485173-0.06282999742731579i
78,0.19341693521960454+0.5499976558018554i,-0.12333929559116218-0.03886584492259797i
79,0.20219559920030222+0.5223237445106393i,-0.15058073600096258+0.003926533883674923i
80,0.21745016677153622+0.4978845395638857i,-0.15946635578296553+0.059266272087957046i
81,0.23828490006777522+0.46911744444622583i,-0.1465132866551186+0.1176593691098364i
82,0.25889793585216003+0.4319172690355729i,-0.1128545255999154+0.17094722095728268i
83,0.2725903981296824+0.38721305419979457i,-0.061240586216977255+0.2131205007987406i
84,0.2747216232541302+0.3398927500114174i,0.00507028610672713+0.23893079095630987i
85,0.2643457086605218+0.2969497111952499i,0.08141863564872702+0.24303421866343963i
86,0.24496929782296817+0.26515350530618664i,0.16039139213325201+0.22084669053912767i
87,0.223963507096988+0.24825441114425942i,0.23168420752664098+0.17082622347945872i
88,0.20999653658270165+0.24479139900952027i,0.28416192975828725+0.09662750276018513i
89,0.20926165110864828+0.24821811030335003i,0.3093543869995551+0.007128940479095612i
90,0.2227920063647507+0.24972970198653777i,0.30404378437085533-0.08617458722778609i
91,0.24652874911242634+0.24195886326800428i,0.27024080144331586-0.17262920482206762i
