% Model,TWA_96MHz_flat_compare_plasma_withcaps_topfed_withPML.mph
% Version,COMSOL 6.2.0.339
% Date,"Apr 30 2024, 15:37"
% Table,Table 9 - Global Evaluation 1
% freq (MHz),S11 (1),S21 (1)
79,0.2659801197248429+0.7378073464301641i,-0.567897889476015+0.2008093461456656i
80,0.40814423349415624+0.6697648992164478i,-0.5188190409592658+0.3172361868759509i
81,0.5207598762615828+0.5530089818810957i,-0.4649593402403219+0.44180089019823543i
82,0.5898343642381092+0.3921565596802228i,-0.38438312310753836+0.5840435980292498i
83,0.5897408241393977+0.1988710551897829i,-0.2467232235011269+0.738013959596731i
84,0.4909165742471127+0.010234639110454165i,-0.02011570477987687+0.8688238713005683i
85,0.292996182883029-0.10070093701435368i,0.29645892459502193+0.9040621825113239i
86,0.06911096647087357-0.06560371486391178i,0.6293911131556564+0.7752003652975651i
87,-0.06625893243636706+0.09532850242985084i,0.8625910877379989+0.5016168660654146i
88,-0.06483700102876447+0.2816814026757653i,0.9447053673401233+0.18275529220670383i
89,0.035659368025753854+0.41247686638707504i,0.9088881219382103-0.10080157237542905i
90,0.17667147457739318+0.46424129534770103i,0.8078640811749684-0.3249023814183566i
91,0.31704130015622384+0.445750855534358i,0.6757600661002954-0.49616346875453976i
92,0.4339530893072606+0.3738895567686807i,0.5271637669932523-0.6271764123123703i
93,0.5148757678935846+0.2650370980122113i,0.36534288557797906-0.7268579726792092i
94,0.551999328819116+0.13443302946857902i,0.1884372827547934-0.7982887651079886i
95,0.5401107840896431-0.0020348720003208597i,-0.006767838109071838-0.8384404324807053i
96,0.47718244161729273-0.12574858349603998i,-0.2217258137780137-0.8379934593466962i
97,0.36751334425152826-0.2142139310494249i,-0.4520300056833853-0.7815770282071596i
98,0.22728651837828168-0.24299570655239608i,-0.6815461870803373-0.6505561641798938i
99,0.08998995895294555-0.1942536356462628i,-0.8768875163022035-0.4320465554341493i
100,0.0034583802360477174-0.07295358748259623i,-0.9902893062141163-0.135419486805282i
101,0.008725993740218672+0.0803316561826783i,-0.9806801286725864+0.19463890115077406i
102,0.10949921611304338+0.20205557874964714i,-0.8442108522781744+0.4905285433429023i
103,0.2653044067630096+0.24334975334174663i,-0.6211216428109346+0.6992841945776646i
104,0.4196388635266523+0.19528300271939783i,-0.36738562853546747+0.8077846970630821i
105,0.5307139503659113+0.08047181062639985i,-0.12346298748167382+0.8340251404955284i
