% Model,TWA_capbox_plasma_withcaps.mph
% Version,COMSOL 6.2.0.339
% Date,"Jun 13 2024, 17:43"
% Table,Table 9 - Global Evaluation 1
% freq (MHz),S12 (1),S22 (1)
60,0.0023354757489875214+0.0011242197828906753i,-0.43663655386089617+0.8960141071250248i
61,0.0029603763462436685+0.0012723537195552575i,-0.3981306915876741+0.9135297943202303i
62,0.0037937567404292085+0.0014315548485808478i,-0.3565248426438005+0.9302949242805351i
63,0.004923145397550055+0.0015922635852918885i,-0.31144011885061995+0.9460619110431233i
64,0.006480362709616079+0.001733770863124154i,-0.26241238145952234+0.9605123276518494i
65,0.008670914531865906+0.0018126261818884526i,-0.20885389168900825+0.9732280558323886i
66,0.011826065357184936+0.001738764906167011i,-0.1499900213655404+0.9836423487849753i
67,0.016501948226960984+0.0013226203411889298i,-0.08474546596385503+0.9909508547114647i
68,0.023680682742091497+1.4918819489970276E-4i,-0.011523801289304568+0.9939321641325296i
69,0.03521289547052564-0.00275224383003401i,0.07226150357842694+0.9905342899025782i
70,0.054891229915273024-0.009908834284612106i,0.17128913064089346+0.9767464620861129i
71,0.0913914811613799-0.029095894030371505i,0.2953194221768369+0.942677771316811i
72,0.16670491077823985-0.09219654596784756i,0.4676655125216115+0.853266747399372i
73,0.28876096059369966-0.4099338433383694i,0.6975692135987052+0.4923208255415841i
74,-0.7333493525952403-0.590288220463198i,-0.20895711740921627+0.24691480230105123i
75,-0.5761996760294623+0.06394935174854197i,0.08175308751173746+0.8029563148327501i
76,-0.44965242990918597+0.20452449183063887i,0.3504970095066992+0.7858438141835271i
77,-0.39921211103456655+0.32898487513583957i,0.5334419490072226+0.6558533577448584i
78,-0.33756776095675634+0.5151576058474457i,0.6464267911269028+0.42871304541013094i
79,-0.13351453765923862+0.776694967019277i,0.5913580643040297+0.10417401100318484i
80,0.37408843279610526+0.8884525600625164i,0.219249148815928-0.09258460923975513i
81,0.8293577503481726+0.5083873066843303i,-0.11126582792171757+0.17627818449784202i
82,0.8597315634913953+0.045990041247832875i,-0.030267035474450806+0.49662995382440184i
83,0.7292732598007503-0.2374461550611072i,0.19192527030160741+0.6009917358074504i
84,0.5882887625041539-0.417274555908254i,0.39162082340491017+0.5571116382508435i
85,0.4479424541383782-0.5613785368008815i,0.5327392460890668+0.427438937904405i
86,0.2830028334401205-0.6957723708159211i,0.598261598136082+0.24382516755343742i
87,0.05730776995386601-0.8122917451570425i,0.5633634079914214+0.03847315681375898i
88,-0.2572806214839984-0.8580163365791712i,0.40700376124300075-0.12541270079056005i
89,-0.6261830285683093-0.7379652615922881i,0.16688235545400482-0.14829051549112807i
90,-0.9054767161070199-0.41032603049405547i,-0.01312770022805314+0.01369503633236121i
91,-0.9645449749759636+0.004279377160125553i,-0.005392710906350498+0.24110434416276907i
92,-0.8372268636903685+0.3475332677953551i,0.1504345346771419+0.3773167125969685i
93,-0.6290379119072091+0.573522380217443i,0.34019456011345245+0.37971981769497565i
94,-0.4021765794036159+0.7087269551253189i,0.4895974551606882+0.28118661171582776i
95,-0.17132692316063353+0.7840388315658255i,0.5675647520612128+0.12534715707828895i
96,0.07099150973475626+0.8120005684318798i,0.5613856842043581-0.049439474354984435i
97,0.3366349344688827+0.7821164621702381i,0.4658328637781044-0.20262478077027887i
98,0.6232405182130959+0.658098561632701i,0.2913497336894727-0.2805196146857456i
99,0.8813972654917548+0.3899728936718106i,0.09390341135481726-0.22275263615924498i
100,0.9937165247366004-0.020215893012561804i,-0.004820587305001272-0.024728367461951773i
101,0.8668087826121202-0.43972520423671585i,0.09049294211682528+0.18577366522937455i
102,0.570086455435059-0.70726171314122i,0.3100791913799445+0.2520245099998644i
103,0.2479041436904314-0.8002099042516263i,0.5062985533979324+0.15648838613454719i
