% Model,TWA_96MHz_flat_centerfed_plasma_withcaps_capfeed.mph
% Version,COMSOL 6.2.0.339
% Date,"May 30 2024, 18:08"
% Table,Table 9 - Global Evaluation 1
% freq (MHz),S12 (1),S22 (1),S32 (1)
62,0.017771618541173942+0.0075623259607165115i,-0.3554971779843179+0.9301056489734688i,0.017747574355471415+0.00756595642338445i
63,0.020596470934508854+0.007718442599614484i,-0.3097143602371094+0.9459270583055176i,0.02056803057648595+0.007724553413042985i
64,0.023960817058977218+0.007729548002248142i,-0.25989368089906717+0.9603412392716926i,0.023927186108370156+0.0077391294858587135i
65,0.027985476472945775+0.00751889477042795i,-0.20554341340473434+0.9728745974006605i,0.027945747946285+0.007533312285069767i
66,0.03282148837385929+0.006974356778738287i,-0.14609744345467782+0.9829038056204046i,0.03277465652497467+0.006995499071142065i
67,0.03865763479947275+0.005931039363991973i,-0.08090607341867079+0.9895988970277474i,0.038602641243749236+0.005961528997838085i
68,0.045728948924845705+0.00414434969088808i,-0.00923036398906246+0.9918399543687847i,0.04566479234652374+0.00418783852571312i
69,0.05432492291796596+0.001247669388358048i,0.06975320723689543+0.9880929900383649i,0.05425088599734792+0.0013092327272682233i
70,0.06479369638571388-0.0033151555455117666i,0.15692262380753721+0.9762219896103083i,0.06470975305900266-0.0032285591989127463i
71,0.07753253813316309-0.010398945475726123i,0.2531210578333777+0.9532006516048463i,0.07743999693454383-0.01027792776061574i
72,0.09294029562490512-0.02133488745023223i,0.3589333170378904+0.9146678403269943i,0.0928424119550288-0.021167340763668895i
73,0.1112721650562328-0.038217283213845016i,0.47415382918328314+0.854260764071115i,0.11117960995172967-0.03798394321415635i
74,0.1322555660687443-0.06434436203994126i,0.5965668233601426+0.7626724013568872i,0.13218937224077634-0.06402213204927931i
75,0.15412531567106677-0.10480545210148973i,0.7191900514153248+0.6266489155531993i,0.15412727581853555-0.1043685274579463i
76,0.17136199787135306-0.16684066346022877i,0.824374280291198+0.4292161618590145i,0.1715105935437509-0.16627217935230887i
77,0.17008208284820386-0.2581966470276835i,0.8730442101292706+0.1561274533183489i,0.17051059061228716-0.2575247863590239i
78,0.12216538856185527-0.3780319163552306i,0.7945898241661082-0.17843664227259187i,0.12304863744271635-0.3774212610774426i
79,-0.008214618337777459-0.4941627918719663i,0.5147152183963276-0.47839804494026833i,-0.006817902653286617-0.4940322962426039i
80,-0.2183108422185409-0.5328810415890594i,0.07598286000350125-0.5641535995690389i,-0.21685446851328688-0.5338046452174195i
81,-0.42794522341438784-0.4478501617873696i,-0.3010562658547965-0.3642498238924788i,-0.42770036288730506-0.4498252638348736i
82,-0.5592776278870741-0.28485252567273395i,-0.44967548630492105-0.03458326676276141i,-0.5613876029761713-0.2856798860935377i
83,-0.6104080434224936-0.11149993705926566i,-0.4007823730958342+0.25023556169470224i,-0.6110005555469621-0.10908891343167963i
84,-0.6093718979357521+0.04540880709570838i,-0.2524197143156398+0.42846405649000235i,-0.6072918534576256+0.04673280445367271i
85,-0.5771548572526577+0.18124036346133654i,-0.0742490922374921+0.5050232459730937i,-0.5747234505282602+0.18080339115333485i
86,-0.5247931615584739+0.2999208856370197i,0.09666503182069824+0.5003999390200631i,-0.5228355721690631+0.2983081463893808i
87,-0.4552945091206152+0.4050152764460883i,0.24027841184245374+0.43398064453336077i,-0.45407867621393055+0.402661185594633i
88,-0.36828831183550503+0.49690846146696516i,0.34376420781434996+0.3228343314215777i,-0.3679437994866386+0.494131576888258i
89,-0.2630517363212977+0.5727874609132763i,0.3980861131417374+0.1839689349536632i,-0.2636549526329523+0.5698756329348885i
90,-0.14050003159818433+0.6274995779874594i,0.398258181301828+0.03599987645155575i,-0.14207388833005202+0.6247505122260747i
91,-0.004433333816715731+0.6550304661913534i,0.34515034697524366-0.10107777252466574i,-0.006924026943653666+0.6527575863305288i
92,0.13816784753188235+0.6504089539569793i,0.2469970442289635-0.2082058953692088i,0.13491399089491424+0.6489212741228555i
93,0.2780043034553191+0.6114947974445991i,0.1190980995873751-0.2708115213011476i,0.2742513166314557+0.6110587708213384i
94,0.40523335347596434+0.5399199082904795i,-0.018804956646836193-0.2819100591441761i,0.4013501753153299+0.5407212365328904i
95,0.5114000849576511+0.44081664043109i,-0.1466038848015003-0.24318899323144597i,0.5078454929530543+0.4429102008976423i
