% Model,TWA_96MHz_flat_centerfed_plasma_withcaps.mph
% Version,COMSOL 6.2.0.339
% Date,"May 23 2024, 10:56"
% Table,Table 9 - Global Evaluation 1
% freq (MHz),S12 (1),S22 (1),S32 (1)
65,0.028540260010880867+0.009072916577076822i,-0.24784809429802784+0.9633990762510317i,0.028502253155310034+0.009092333529833222i
66,0.03354725859049067+0.008725708152489946i,-0.1884376184613608+0.976097533244679i,0.033504256848423244+0.008753129886706316i
67,0.03960225387861253+0.007903069600981867i,-0.1229960355655608+0.9856660827415141i,0.039554147188478495+0.007941217342771902i
68,0.04695363378160674+0.0063606871000510155i,-0.05072709177014463+0.9909766404779149i,0.04690075670173403+0.0064131881533390596i
69,0.05590774315303703+0.003730443193003817i,0.029258610675249614+0.9904774723823647i,0.055851248852793835+0.0038020976503203366i
70,0.06683362738815948-5.48227450695646E-4i,0.1179129348050509+0.982001638700876i,0.066776066306284-4.5119385365459565E-4i
71,0.0801537297047468-0.007338941758315053i,0.21615844460661013+0.9624749811123208i,0.0800998899121189-0.007208668478053331i
72,0.09629563998948384-0.017987398158288412i,0.3246585368812795+0.9274707082978345i,0.0962542363161257-0.017814011294808228i
73,0.1155449365203901-0.03460746650323028i,0.44327809365611365+0.8705446420591921i,0.11553170570654508-0.03437936700911155i
74,0.13765892221227136-0.06051475084837694i,0.5698512126262953+0.7823286942942786i,0.13770299238533631-0.06022033490585946i
75,0.16091037656475596-0.10078926472790328i,0.6974580310791398+0.6496023386446903i,0.16105978116471364-0.10042435662574008i
76,0.17989063074517053-0.16258123096633428i,0.808722122328054+0.4556670565223843i,0.1802217217947738-0.16216621213550955i
77,0.18116033108564958-0.25345815179008324i,0.8657734164760198+0.18674981298010307i,0.18177701943083655-0.2530782207592286i
78,0.13793540566843374-0.37287392776915956i,0.8014520258185333-0.14394711054748482i,0.13891931936752439-0.3727491797634487i
79,0.016055031511012677-0.49159273303984863i,0.5449846198759477-0.448228594009173i,0.017287327722161325-0.4921184964438701i
80,-0.185304476489416-0.5417970962391244i,0.1283298690752783-0.5599729324786015i,-0.1844444909482974-0.5433141544976604i
81,-0.39644881237647517-0.4751586192658248i,-0.2526104584087924-0.3991499817629086i,-0.39709576964202037-0.47724049983625316i
82,-0.5411136971405884-0.3254162091208894i,-0.42968613899797964-0.09251187032233014i,-0.5436308755324933-0.325792203791722i
83,-0.6081216704322803-0.1548951796486489i,-0.41064971956930746+0.19274344383388956i,-0.6086279064881593-0.152732917113076i
