% Model,TWA_96MHz_flat_centerfed_plasma_withcaps.mph
% Version,COMSOL 6.2.0.339
% Date,"May 23 2024, 11:49"
% Table,Table 9 - Global Evaluation 1
% freq (MHz),S12 (1),S22 (1),S32 (1)
65,0.028540260010880867+0.009072916577076822i,-0.24784809429802784+0.9633990762510317i,0.028502253155310034+0.009092333529833222i
66,0.03354725859049067+0.008725708152489946i,-0.1884376184613608+0.976097533244679i,0.033504256848423244+0.008753129886706316i
67,0.03960225387861253+0.007903069600981867i,-0.1229960355655608+0.9856660827415141i,0.039554147188478495+0.007941217342771902i
68,0.04695363378160674+0.0063606871000510155i,-0.05072709177014463+0.9909766404779149i,0.04690075670173403+0.0064131881533390596i
69,0.05590774315303703+0.003730443193003817i,0.029258610675249614+0.9904774723823647i,0.055851248852793835+0.0038020976503203366i
123,0.5365388001921985+0.18667876720849566i,0.16072798693724422-0.5612078363464462i,0.5365587041098482+0.18801754442495497i
124,0.6302522793815717-0.15307458304349084i,-0.3289508793684074-0.1924715452457728i,0.6331726030394216-0.1600073332001801i
125,0.2538172218081861-0.4939369031404894i,0.11424323117932632+0.6058712366284116i,0.24851202774069875-0.4868259767937564i
126,-0.052196562268627934-0.3091071923381459i,0.8232048477195488+0.32675627457544726i,-0.05078588916224187-0.3062558895133052i
127,-0.08630358391504886-0.1522044059614849i,0.9523338854500202-0.09923195905469874i,-0.08512468646159897-0.1514228226316611i
128,-0.07054863976627851-0.07850443227247583i,0.9029542632485974-0.3750477904848438i,-0.06983705930500123-0.07831493245414324i
129,-0.05261187633256318-0.04287429372682799i,0.8140751565755263-0.5543207412333228i,-0.05218779410123688-0.04286326141592862i
130,-0.038695132243177124-0.02437665933872563i,0.7190072729425874-0.6775778216895079i,-0.038436986811096224-0.02441799085537201i
131,-0.028580714377328377-0.014204682083853554i,0.6265961196409663-0.7659356649867161i,-0.028419853594924438-0.014256666483103758i
132,-0.021301196940884518-0.008371525705094645i,0.5393105860336044-0.8309105576821737i,-0.021198886386833562-0.008420319855731485i
133,-0.0160351658169695-0.004925664387229181i,0.4577007152491502-0.8793173014259242i,-0.01596898146038287-0.004967313160351743i
134,-0.012189615381703326-0.002848573891350736i,0.38167907453319827-0.9154954237097138i,-0.012146206669975259-0.002882689118276147i
135,-0.009352020720017262-0.0015811488396207125i,0.31094004873184283-0.9423761843107908i,-0.00932323522799704-0.0016085450618020891i
136,-0.007236885450697623-8.042536932188477E-4i,0.24511247060135377-0.9620327457964633i,-0.007217608235261155-8.259859451400911E-4i
