% Model,TWA_96MHz_flat_centerfed_passive_dg_plasma_withcaps.mph
% Version,COMSOL 6.2.0.339
% Date,"May 29 2024, 11:07"
% Table,Table 9 - Global Evaluation 1
% freq (MHz),S12 (1),S22 (1),S32 (1)
65,0.026830213346540253+0.009751822640796354i,-0.23047153476672844+0.9678063578847537i,0.026838314281728472+0.00974701775202173i
66,0.03170372252268187+0.009687182427306115i,-0.16848228717996053+0.9798564675436934i,0.03171360672390209+0.00968084759298374i
67,0.03765007779124074+0.009223526602307573i,-0.10003093268050443+0.9883956090043782i,0.037662233735377144+0.009215070474896737i
68,0.04494331013816317+0.008132208918706925i,-0.02424433351720916+0.9921338591500409i,0.044958370586910705+0.008120763280647699i
69,0.053930668498303296+0.006059374461811648i,0.05985028211012574+0.989280542338461i,0.053949389495448793+0.006043695040694956i
70,0.06504522452607032+0.0024508883104082326i,0.15328271123118445+0.9773093075246546i,0.06506842185154046+0.002429299026835472i
71,0.07880724930243208-0.003573458876195438i,0.2570159879804663+0.9525947678827059i,0.07883540108090901-0.0036022848952407347i
72,0.09578586824225173-0.013425273658986022i,0.3716319587305243+0.9098542280008043i,0.09582153861660168-0.013466745503379247i
73,0.11645727844889583-0.029402746581114886i,0.49658828783954984+0.8413071044123713i,0.11650246255281625-0.02946397086477628i
74,0.1407704633469869-0.055244612400328706i,0.6284908179893347+0.7355444565807254i,0.14082695397949171-0.05533781223939006i
75,0.16698607921359856-0.09688987601283519i,0.7571985977181671+0.5765440848002528i,0.1670534007106938-0.0970366998821028i
76,0.18882807921678177-0.16292288629875512i,0.8576734543819169+0.3451275613124834i,0.18889657936849202-0.16316198163117976i
77,0.18968384896798374-0.2621508725898279i,0.8765959632322408+0.030921863365603226i,0.18971369788990305-0.26254809230529197i
78,0.13647154821855043-0.39099565728331426i,0.7277275240426576-0.32801751194758416i,0.13634005170191876-0.3916406440887458i
79,-0.006327752793127282-0.506760369161321i,0.35473048164319465-0.5867970721491775i,-0.006921111739239018-0.5076945820991688i
80,-0.21937089793306527-0.5317150271228147i,-0.11928882148104629-0.5589634797960188i,-0.22098453752979463-0.5326835164254421i
81,-0.41432240972050965-0.4403195565765946i,-0.43681604160901605-0.26319265421635524i,-0.4176006860859361-0.4400366682438135i
82,-0.5338781938372192-0.2890430963167412i,-0.4989732814161845+0.09055802874767344i,-0.536247038021415-0.28466316992748925i
83,-0.5857312753519234-0.12967209078426933i,-0.38689755919483654+0.3561139586062686i,-0.5837855973110403-0.12602103174294685i
84,-0.592105210750739+0.016129935990807115i,-0.2004369650952542+0.5021414646055505i,-0.5895130365482034+0.01763059084820968i
85,-0.5712392731314336+0.14648917035308703i,-4.1953890628274704E-4+0.5438973032170846i,-0.5688573229078733+0.14688022279817836i
86,-0.5302319835498825+0.2651803753378151i,0.1807140346639652+0.5035273737363288i,-0.5281162471004051+0.2649031158276134i
87,-0.4700770860938062+0.3741232505562069i,0.3235452790997786+0.4011370977519627i,-0.46822125215704213+0.3733383132376882i
88,-0.38960266969279056+0.4719947254805903i,0.4144454553962437+0.25613575645326664i,-0.3880352363955394+0.4707611610233088i
89,-0.2880901533517493+0.5544285316678306i,0.4443923682709801+0.08972975740838268i,-0.28688547073103765+0.5527781036925292i
90,-0.1671367908430553+0.6150961960861124i,0.41083097746507347-0.07448915136312317i,-0.16641162289059003+0.6130750452573325i
91,-0.03164283336614008+0.647504598116345i,0.3199627692768448-0.21272558766935046i,-0.03154569096211954+0.6452050646503941i
