% Model,TWA_96MHz_flat_centerfed_plasma_withcaps.mph
% Version,COMSOL 6.2.0.339
% Date,"May 30 2024, 15:29"
% Table,Table 9 - Global Evaluation 1
% hf (cm),freq (MHz),S12 (1),S22 (1),S32 (1)
1,96,0.007992755979089787+0.006396408887129837i,-0.6267235876126778+0.7766672959631428i,0.008058570199110517+0.006417543027514292i
1.5,96,0.018696134176755603+0.011662968237447344i,-0.5404240894312782+0.8380325771942266i,0.018704883337077687+0.011725574376686648i
2,96,0.03339060459340353+0.01699035059519217i,-0.4694529341592735+0.8783048220752471i,0.03336506564448357+0.01691241912415718i
2.5,96,0.0515480154555038+0.02155830178554786i,-0.41014353132222997+0.9054863736959347i,0.051581231242294995+0.021627994980743963i
3,96,0.07270925770225624+0.02531906207394599i,-0.36250114192489263+0.9222637703003125i,0.0730408017855676+0.025388074675415442i
3.5000000000000004,96,0.0964891742855942+0.02729125707772753i,-0.3151771470114262+0.9346685519702302i,0.09682563804309903+0.027304868360805905i
4,96,0.1230257240962929+0.027339904073331527i,-0.2710203101016723+0.9419377103272909i,0.12341838154753887+0.027499101540502526i
4.5,96,0.1501182861469806+0.025554701484224455i,-0.2342073548068609+0.9439722167516916i,0.15086045464012984+0.025883767432189873i
5,96,0.17802755224903452+0.021678204753703408i,-0.1984247161995691+0.9424635195266177i,0.17799267032645427+0.021559324957711123i
5.5,96,0.20648238051192752+0.015591203236568377i,-0.1679263549814356+0.9355538421006334i,0.20734830392384226+0.016392152752130327i
6,96,0.23413121672700718+0.008911337888688491i,-0.14282204064377674+0.9275891426887651i,0.23474500929599035+0.009050630155075675i
6.5,96,0.261279042880128+3.2199432492460353E-4i,-0.12382317483349368+0.9153449206533215i,0.26386494593840876+0.0012852399391661846i
7.000000000000001,96,0.2879147867669844-0.008324159002597935i,-0.10666275142496924+0.9005583932911846i,0.29000088523698037-0.007833277013916872i
7.5,96,0.31166532008268444-0.01777437805290331i,-0.09663356552849704+0.8844465958358572i,0.3160285715486501-0.01589471579553674i
8,96,0.3397841307281464-0.027024202847548175i,-0.08667909012888746+0.8659872606523297i,0.34181121760332034-0.026602012720298718i
8.5,96,0.3656520721133805-0.03442510724110809i,-0.0830728662787759+0.8462245206456741i,0.3625425144683144-0.0361716647013965i
9,96,0.3886591652767493-0.04402308109959489i,-0.08824472453946368+0.8216050177783374i,0.3907915739118876-0.04155538660981511i
9.5,96,0.40908552987960006-0.05173881154360399i,-0.09085757170152871+0.7989348398457158i,0.41460715996177155-0.04770989243938185i
10,96,0.437834999055332-0.05121962686596571i,-0.10248126842463992+0.7711697491791429i,0.43340927575009336-0.058437334009963565i
10.5,96,0.4566006787459872-0.05812373028469872i,-0.11839704234202299+0.7405323795671604i,0.46066851454842556-0.053891242253038284i
11,96,0.4803544879940854-0.05290829547092927i,-0.1367214799292477+0.7094296281164i,0.48211831569673713-0.05772985921795445i
11.5,96,0.5026897930388369-0.05311404363109062i,-0.15821826057793054+0.6718079245414611i,0.5061631060517463-0.051998704784585494i
12,96,0.5273021286819626-0.048547511943063004i,-0.1812140756664436+0.6301211415149542i,0.5277357362219197-0.04411452736346152i
12.5,96,0.5505408705862168-0.027766453033539664i,-0.2143568402529861+0.5788678973486213i,0.5529351870165117-0.035847895223352584i
13,96,0.577699895360423-0.014826181933319652i,-0.24726546944270478+0.5134266161548345i,0.5774519319824281-0.006558814477096099i
13.5,96,0.6029231451364213+0.02403706271472229i,-0.28467279261959905+0.42952063899724663i,0.6021531733180896+0.021990441256095023i
14.000000000000002,96,0.6247735777690843+0.07384966385734829i,-0.31933673333112794+0.3142651048168675i,0.6249526579667029+0.07533010661497366i
14.499999999999998,96,0.6336013019909954+0.19027044163397322i,-0.3302652023814882+0.07739731588031394i,0.63451682867203+0.19455144639948638i
14.875,96,0.59074+0.32156i,-0.24763-0.16370i,0.58803+0.32481i
